building_number,street_name,state,pin,country
1,sadfa,asdf,33353,usa
2,aaaaaaaaaaaaaaa,dfdsfsf,77777,usa
4,bbbbbb,sfdsdjfk,88888,USA
5,wadkd,sacj,46514,usa
777,Brockton Avenue,Abington MA,2351,USA
30,Memorial Drive,Avon MA,2322,USA
250,Hartford Avenue,Bellingham MA,2019,USA
700,Oak Street,Brockton MA,2301,USA
664,Parkhurst Rd,Chelmsford MA,1824,USA
591,Memorial Dr,Chicopee MA,1020,USA
550,Brooksby Village Way,Danvers MA,1923,USA
137,Teaticket Hwy,East Falmouth MA,2536,USA
421,Fairhaven Commons Way,Fairhaven MA,2719,USA
374,William S Canning Blvd,Fall River MA,2721,USA
121,Worcester Rd,Framingham MA,1701,USA
677,Timpany Blvd,Gardner MA,1440,USA
337,Russell St,Hadley MA,1035,USA
295,Plymouth Street,Halifax MA,2338,USA
1775,Washington St,Hanover MA,2339,USA
280,Washington Street,Hudson MA,1749,USA
280,Soojian Dr,Leicester MA,1524,USA
112,Jungle Road,Leominster MA,1453,USA
301,Massachusetts Ave,Lunenburg MA,1462,USA
780,Lynnway,Lynn MA,1905,USA
780,Pleasant Valley Street,Methuen MA,1844,USA
830,Curran Memorial Hwy,North Adams MA,1247,USA
1470,S Washington St,North Attleboro MA,2760,USA
506,State Road,North Dartmouth MA,2747,USA
742,Main Street,North Oxford MA,1537,USA
742,Main St,North Reading MA,1864,USA
200,Otis Street,Northborough MA,1532,USA
180,North King Street,Northhampton MA,1060,USA
555,East Main St,Orange MA,1364,USA
555,Hubbard Ave-Suite 12,Pittsfield MA,1201,USA
300,Colony Place,Plymouth MA,2360,USA
301,Falls Blvd,Quincy MA,2169,USA
301,Paramount Drive,Raynham MA,2767,USA
450,Highland Ave,Salem MA,1970,USA
1180,Fall River Avenue,Seekonk MA,2771,USA
1105,Boston Road,Springfield MA,1119,USA
100,Charlton Road,Sturbridge MA,1566,USA
262,Swansea Mall Dr,Swansea MA,2777,USA
333,Main Street,Tewksbury MA,1876,USA
550,Providence Hwy,Walpole MA,2081,USA
352,Palmer Road,Ware MA,1082,USA
3005,Cranberry Hwy Rt 6 28, Wareham MA,2538,USA
250,Rt 59,Airmont NY,10901,USA
